"FLWS_nasdaq","Florists"
"ANR_nyse","Coal - NEC"
"AGD_nyse","Closed End Funds"
"AWP_nyse","Closed End Funds"
"AOD_nyse","Closed End Funds"
"RESI_nyse","Residential Real Estate Development"
"MO_nyse","Cigars &amp; Cigarette Manufacturing"
"AWC_nyse","Aluminum - NEC"
"ACH_nyse","Aluminum - NEC"
"AMBO_nyse","Personal Services - NEC"
"ACO_nyse","Construction Materials - NEC"
"DOX_nyse","IT Services &amp; Consulting - NEC"
"AEE_nyse","Multiline Utilities - NEC"
"AMRC_nyse","Renewable Energy Services"
"AMX_nyse","Wireless Telecommunications Services - NEC"
"AAT_nyse","Retail REITs"
"AXL_nyse","Engine &amp; Powertrain Systems"
"ACC_nyse","Residential REITs"
"AEO_nyse","Apparel &amp; Accessories Retailers - NEC"
"AEP_nyse","Electric Utilities - NEC"
"AEL_nyse","Life Insurance"
"AXP_nyse","Consumer Lending - NEC"
"AFG_nyse","Property &amp; Casualty Insurance - NEC"
"AM_nyse","Specialized Printing Services"
"MRF_nyse","Closed End Funds"
"AFF_nyse","Property &amp; Casualty Insurance - NEC"
"AIG_nyse","Property &amp; Casualty Insurance - NEC"
"AMID_nyse","Natural Gas Utilities - NEC"
"XAA_nyse","Closed End Funds"
"ARL_nyse","Residential Real Estate Development"
"ASI_nyse","Property &amp; Casualty Insurance - NEC"
"SLA_nyse","Investment Trusts"
"AWR_nyse","Water Utilities - NEC"
"ASP_nyse","Investment Trusts"
"BSP_nyse","Investment Trusts"
"CSP_nyse","Investment Trusts"
"AMT_nyse","Commercial REITs - NEC"
"AVD_nyse","Agricultural Chemicals - NEC"
"AWK_nyse","Water Supply &amp; Irrigation Systems"
"APU_nyse","Oil &amp; Gas Refining and Marketing - NEC"
"AMP_nyse","Investment Management &amp; Fund Operators - NEC"
"ABC_nyse","Pharmaceuticals - NEC"
"ANFI_nyse","Food Processing - NEC"
"AHS_nyse","Hospitals, Clinics &amp; Primary Care Services"
"AP_nyse","Pump &amp; Pumping Equipment"
"APH_nyse","Electronic Component"
"AMRE_nyse","Retail REITs"
"AXR_nyse","Business Support Services - NEC"
"AME_nyse","Electrical Components &amp; Equipment - NEC"
"APC_nyse","Oil &amp; Gas Exploration and Production - NEC"
"AU_nyse","Gold Mining"
"BUD_nyse","Brewers - NEC"
"AXE_nyse","Electrical Components &amp; Equipment - NEC"
"ANN_nyse","Women&#39;s Apparel Retailers"
"NLY_nyse","Specialized REITs - NEC"
"NLY^A_nyse","Specialized REITs - NEC"
"NLY^C_nyse","Specialized REITs - NEC"
"NLY^D_nyse","Specialized REITs - NEC"
"BNNY_nyse","Food Processing - NEC"
"ANH_nyse","Specialized REITs - NEC"
"ANH^A_nyse","Specialized REITs - NEC"
"ANH^B_nyse","Specialized REITs - NEC"
"AOL_nyse","Content &amp; Site Management Services"
"AON_nyse","Insurance Brokers"
"APA_nyse","Oil &amp; Gas Exploration and Production - NEC"
"AIV_nyse","Residential REITs"
"ARI_nyse","Mortgage REITs"
"APO_nyse","Investment Management &amp; Fund Operators - NEC"
"AMTG_nyse","Corporate Financial Services - NEC"
"AFT_nyse","Closed End Funds"
"AIT_nyse","Industrial Machinery &amp; Equipment Wholesale"
"ATR_nyse","Plastic Container &amp; Packaging"
"WTR_nyse","Water Utilities - NEC"
"ARSD_nyse","Iron Ore Mining"
"ARB_nyse","Advertising &amp; Marketing - NEC"
"ABR_nyse","Diversified REITs"
"ARC_nyse","Business Support Services - NEC"
"MT_nyse","Steel - NEC"
"ACI_nyse","Coal - NEC"
"ADM_nyse","Food Processing - NEC"
"ARCO_nyse","Restaurants &amp; Bars - NEC"
"ACRE_nyse","Corporate Financial Services - NEC"
"AI_nyse","Consumer Lending - NEC"
"AHH_nyse","Real Estate Development &amp; Operations - NEC"
"ARR_nyse","Residential REITs"
"ARR^A_nyse","Residential REITs"
"ARR^B_nyse","Residential REITs"
"AWI_nyse","Construction Supplies &amp; Fixtures - NEC"
"ARW_nyse","Semiconductors - NEC"
"AJG_nyse","Insurance Brokers"
"ART_nyse","Investment Management &amp; Fund Operators - NEC"
"APAM_nyse","Investment Management"
"ASA_nyse","Closed End Funds"
"ABG_nyse","Auto Vehicles, Parts &amp; Service Retailers - NEC"
"AHT_nyse","Hospitality REITs"
"AHT^A_nyse","Hospitality REITs"
"AHT^D_nyse","Hospitality REITs"
"AHT^E_nyse","Hospitality REITs"
"ASH_nyse","Diversified Chemicals"
"APB_nyse","Closed End Funds"
"GRR_nyse","Closed End Funds"
"AHL_nyse","Property &amp; Casualty Reinsurance"
"AHL^A_nyse","Property &amp; Casualty Reinsurance"
"ALC_nyse","Residential &amp; Long Term Care"
"AEC_nyse","Residential REITs"
"AIZ_nyse","Multiline Insurance &amp; Brokers - NEC"
"AGO_nyse","Property &amp; Casualty Insurance - NEC"
"AGO^B_nyse","Property &amp; Casualty Insurance - NEC"
"AF_nyse","Banks - NEC"
"AF^C_nyse","Banks - NEC"
"AZN_nyse","Biopharmaceuticals"
"T_nyse","Wireless Telecommunications Services - NEC"
"AT_nyse","Electric Utilities - NEC"
"ATLS_nyse","Oil &amp; Gas Exploration and Production - NEC"
"APL_nyse","Oil Related Services and Equipment - NEC"
"ARP_nyse","Oil &amp; Gas Exploration and Production - NEC"
"ATO_nyse","Natural Gas Utilities - NEC"
"ATW_nyse","Oil &amp; Gas Drilling - NEC"
"AUO_nyse","Display Screens"
"AUQ_nyse","Precious Metals &amp; Minerals - NEC"
"ALV_nyse","Auto, Truck &amp; Motorcycle Parts - NEC"
"AN_nyse","Auto Vehicles, Parts &amp; Service Retailers - NEC"
"AZO_nyse","Auto Vehicles, Parts &amp; Service Retailers - NEC"
"AVB_nyse","Residential REITs"
"ACP_nyse","Closed End Funds"
"ACP~_nyse","Closed End Funds"
"AVY_nyse","Business Support Supplies - NEC"
"AVG_nyse","Software - NEC"
"AVA_nyse","Multiline Utilities - NEC"
"AV_nyse","Life &amp; Health Insurance - NEC"
"AVT_nyse","Electronic Equipment &amp; Parts - NEC"
"AVP_nyse","Personal Products - NEC"
"AVX_nyse","Electronic Component"
"AXLL_nyse","Commodity Chemicals - NEC"
"AXS_nyse","Reinsurance - NEC"
"AZZ_nyse","Electrical Components &amp; Equipment - NEC"
"BGS_nyse","Food Retail &amp; Distribution - NEC"
"BWC_nyse","Heavy Electrical Equipment - NEC"
"MCI_nyse","Closed End Funds"
"BGH_nyse","Closed End Funds"
"MPV_nyse","Closed End Funds"
"BMI_nyse","Testing &amp; Measuring Equipment"
"BHI_nyse","Oil Related Services and Equipment - NEC"
"BBN_nyse","Closed End Funds"
"BLL_nyse","Non-Paper Containers &amp; Packaging - NEC"
"BYI_nyse","Games, Toys &amp; Children Vehicles"
"BALT_nyse","Deep Sea Freight"
"BBVA_nyse","Banks - NEC"
"BBD_nyse","Banks - NEC"
"BCH_nyse","Banks - NEC"
"BLX_nyse","Corporate Financial Services - NEC"
"BSBR_nyse","Banks - NEC"
"BSAC_nyse","Banks - NEC"
"SAN_nyse","Banks - NEC"
"CIB_nyse","Banks - NEC"
"BXS_nyse","Banks - NEC"
"BAC_nyse","Banks - NEC"
"BOH_nyse","Commercial Banks"
"BMO_nyse","Banks - NEC"
"BK_nyse","Investment Management &amp; Fund Operators - NEC"
"BNS_nyse","Banks - NEC"
"RATE_nyse","Financial Information Providers"
"BKU_nyse","Retail &amp; Mortgage Banks"
"BCS_nyse","Banks - NEC"
"BCS^_nyse","Banks - NEC"
"BKS_nyse","Book &amp; Magazine Retailers"
"B_nyse","Industrial Machinery &amp; Equipment - NEC"
"ABX_nyse","Gold Mining"
"BAS_nyse","Oil Related Services and Equipment - NEC"
"BAX_nyse","Pharmaceuticals - NEC"
"BTE_nyse","Oil &amp; Gas Exploration and Production - NEC"
"BBT_nyse","Banks - NEC"
"BFR_nyse","Banks - NEC"
"BBX_nyse","Banks - NEC"
"BCE_nyse","Integrated Telecommunications Services - NEC"
"BEAM_nyse","Distilleries"
"BZH_nyse","Homebuilding - NEC"
"BDX_nyse","Medical Supplies"
"BDC_nyse","Communications &amp; Networking - NEC"
"BLC_nyse","Broadcasting - NEC"
"BMS_nyse","Non-Paper Containers &amp; Packaging - NEC"
"BHE_nyse","Semiconductors - NEC"
"BRK/A_nyse","Property &amp; Casualty Insurance - NEC"
"BRK/B_nyse","Property &amp; Casualty Insurance - NEC"
"BHLB_nyse","Retail &amp; Mortgage Banks"
"BRY_nyse","Oil &amp; Gas Exploration and Production - NEC"
"BBY_nyse","Computer &amp; Electronics Retailers - NEC"
"BHP_nyse","Integrated Mining"
"BBL_nyse","Integrated Mining"
"BIG_nyse","Discount Stores - NEC"
"BH_nyse","Theatres &amp; Performing Arts"
"BBG_nyse","Oil &amp; Gas Exploration and Production - NEC"
"BIOA_nyse","Specialty Chemicals - NEC"
"BMR_nyse","Commercial REITs - NEC"
"BIO_nyse","Medical Equipment, Supplies &amp; Distribution - NEC"
"BIO/B_nyse","Medical Equipment, Supplies &amp; Distribution - NEC"
"BITA_nyse","Internet Services - NEC"
"BKH_nyse","Multiline Utilities - NEC"
"BJZ_nyse","Closed End Funds"
"BFZ_nyse","Closed End Funds"
"CII_nyse","Closed End Funds"
"BHK_nyse","Closed End Funds"
"CYE_nyse","Closed End Funds"
"HYV_nyse","Closed End Funds"
"HYT_nyse","Closed End Funds"
"COY_nyse","Closed End Funds"
"BTZ_nyse","Closed End Funds"
"DSU_nyse","Closed End Funds"
"BHL_nyse","Closed End Funds"
"BQR_nyse","Closed End Funds"
"BGR_nyse","Closed End Funds"
"BDJ_nyse","Closed End Funds"
"EGF_nyse","Closed End Funds"
"FRA_nyse","Closed End Funds"
"BFO_nyse","Closed End Funds"
"BGT_nyse","Closed End Funds"
"BOE_nyse","Closed End Funds"
"BME_nyse","Closed End Funds"
"BHY_nyse","Closed End Funds"
"BAF_nyse","Closed End Funds"
"BNA_nyse","Investment Trusts"
"BKT_nyse","Closed End Funds"
"BGY_nyse","Closed End Funds"
"BKN_nyse","Investment Trusts"
"BTA_nyse","Closed End Funds"
"BIT_nyse","Closed End Funds"
"MUI_nyse","Closed End Funds"
"MNE_nyse","Closed End Funds"
"MUA_nyse","Closed End Funds"
"BPK_nyse","Closed End Funds"
"BKK_nyse","Closed End Funds"
"BIE_nyse","Closed End Funds"
"BBK_nyse","Closed End Funds"
"BBF_nyse","Closed End Funds"
"BYM_nyse","Closed End Funds"
"BFK_nyse","Closed End Funds"
"BTT_nyse","Closed End Funds"
"MEN_nyse","Closed End Funds"
"MUC_nyse","Closed End Funds"
"MUH_nyse","Closed End Funds"
"MHD_nyse","Closed End Funds"
"MFL_nyse","Closed End Funds"
"MUJ_nyse","Closed End Funds"
"MHN_nyse","Closed End Funds"
"MUE_nyse","Closed End Funds"
"MUS_nyse","Closed End Funds"
"MVT_nyse","Closed End Funds"
"MYC_nyse","Closed End Funds"
"MCA_nyse","Closed End Funds"
"MYD_nyse","Closed End Funds"
"MYF_nyse","Closed End Funds"
"MFT_nyse","Closed End Funds"
"MYM_nyse","Closed End Funds"
"MIY_nyse","Closed End Funds"
"MYJ_nyse","Closed End Funds"
"MJI_nyse","Closed End Funds"
"MYN_nyse","Closed End Funds"
"MPA_nyse","Closed End Funds"
"MQT_nyse","Closed End Funds"
"MYI_nyse","Closed End Funds"
"MQY_nyse","Closed End Funds"
"BNJ_nyse","Closed End Funds"
"BNY_nyse","Closed End Funds"
"BLH_nyse","Closed End Funds"
"BQH_nyse","Closed End Funds"
"BSE_nyse","Closed End Funds"
"BCF_nyse","Investment Banking"
"BCX_nyse","Closed End Funds"
"BHD_nyse","Closed End Funds"
"BSD_nyse","Closed End Funds"
"BUI_nyse","Investment Trusts"
"BLK_nyse","Investment Management &amp; Fund Operators - NEC"
"BGB_nyse","Closed End Funds"
"BGX_nyse","Closed End Funds"
"BSL_nyse","Closed End Funds"
"BLT_nyse","Machine Tools"
"BXC_nyse","Wood Product Wholesale"
"BTH_nyse","Household Products - NEC"
"BWP_nyse","Natural Gas Pipeline"
"BA_nyse","Commercial Aircraft Manufacturing"
"BCC_nyse","Logging &amp; Sawmills"
"BZ_nyse","Paper Products - NEC"
"BCEI_nyse","Oil Exploration &amp; Production - Onshore"
"BAH_nyse","Management Consulting Services"
"BWA_nyse","Auto, Truck &amp; Motorcycle Parts - NEC"
"SAM_nyse","Brewers - NEC"
"BXP_nyse","Office REITs"
"BSX_nyse","Advanced Medical Equipment &amp; Technology - NEC"
"BTF_nyse","Closed End Funds"
"TEU_nyse","Deep Sea Freight"
"BYD_nyse","Casinos &amp; Gaming - NEC"
"BP_nyse","Integrated Oil &amp; Gas"
"BPT_nyse","Petroleum Refining"
"BERY_nyse","Plastic Container &amp; Packaging"
"BPZ_nyse","Oil &amp; Gas Exploration and Production - NEC"
"BRC_nyse","Business Support Services - NEC"
"BDN^E_nyse","Office REITs"
"BDN_nyse","Office REITs"
"BAK_nyse","Commodity Chemicals - NEC"
"BRE_nyse","Residential REITs"
"BRE^D_nyse","Residential REITs"
"BRFS_nyse","Animal Slaughtering &amp; Processing"
"BPI_nyse","General Education Services"
"BGG_nyse","Engine &amp; Powertrain Systems"
"BFAM_nyse","Child Care &amp; Family Services"
"EAT_nyse","Commercial Food Services"
"BCO_nyse","Business Support Services - NEC"
"BMY_nyse","Pharmaceuticals - NEC"
"BMY^_nyse","Pharmaceuticals - NEC"
"BRS_nyse","Oil Related Services and Equipment - NEC"
"BR_nyse","Professional Information Services - NEC"
"BKD_nyse","Residential &amp; Long Term Care"
"BAM_nyse","Investment Management &amp; Fund Operators - NEC"
"INF_nyse","Investment Trusts"
"BIP_nyse","Electric Utilities - NEC"
"BOI_nyse","Closed End Funds"
"BPO_nyse","Office Real Estate Development"
"BPY_nyse","Real Estate Development &amp; Operations - NEC"
"BRP_nyse","Land Division &amp; Subdivision"
"HTR_nyse","Closed End Funds"
"BRO_nyse","Insurance Brokers"
"BF/A_nyse","Distillers &amp; Wineries - NEC"
"BF/B_nyse","Distillers &amp; Wineries - NEC"
"BWS_nyse","Footwear - NEC"
"BRT_nyse","Mortgage REITs"
"BC_nyse","Shipbuilding - NEC"
"BT_nyse","Integrated Telecommunications Services - NEC"
"BPL_nyse","Oil &amp; Gas Transportation Services - NEC"
"BKI_nyse","Pulp Mills"
"BKE_nyse","Apparel &amp; Accessories Retailers - NEC"
"BVN_nyse","Gold Mining"
"BBW_nyse","Toys &amp; Games Retailers"
"BG_nyse","Food Processing - NEC"
"BKW_nyse","Restaurants &amp; Bars - NEC"
"CJES_nyse","Oil Related Equipment"
"BCR_nyse","Medical Equipment, Supplies &amp; Distribution - NEC"
"CAB_nyse","Other Specialty Retailers - NEC"
"CVC_nyse","Cable Service Providers"
"CBT_nyse","Specialty Chemicals - NEC"
"COG_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CACI_nyse","IT Services &amp; Consulting - NEC"
"CAE_nyse","Aircraft Parts Manufacturing - NEC"
"CAP_nyse","Marine Freight &amp; Logistics - NEC"
"DVR_nyse","Oil Related Services"
"CCC_nyse","Environmental Services &amp; Equipment - NEC"
"CWT_nyse","Water Utilities - NEC"
"CALX_nyse","Communications &amp; Networking - NEC"
"ELY_nyse","Sporting &amp; Outdoor Goods"
"CPE_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CPN_nyse","Electric Utilities - NEC"
"CBM_nyse","Pharmaceuticals - NEC"
"CPT_nyse","Residential REITs"
"CCJ_nyse","Uranium - NEC"
"CIS_nyse","IT Services &amp; Consulting - NEC"
"CAM_nyse","Oil Related Services and Equipment - NEC"
"CPB_nyse","Food Processing - NEC"
"CCG_nyse","Residential REITs"
"CM_nyse","Commercial Banks"
"CNI_nyse","Ground Freight &amp; Logistics - NEC"
"CNQ_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CP_nyse","Ground Freight &amp; Logistics - NEC"
"CAJ_nyse","Office Equipment - NEC"
"CMN_nyse","Medical Equipment Wholesale"
"COF_nyse","Consumer Credit Cards Services"
"CSU_nyse","Residential &amp; Long Term Care"
"BXMT_nyse","Mortgage REITs"
"CSE_nyse","Commercial Banks"
"LSE_nyse","Office REITs"
"LSE^A_nyse","Office REITs"
"LSE^B_nyse","Office REITs"
"LSE^C_nyse","Office REITs"
"CMO_nyse","Mortgage REITs"
"CRR_nyse","Oil Related Services and Equipment - NEC"
"CAH_nyse","Drug Retailers - NEC"
"CFN_nyse","Medical Equipment, Supplies &amp; Distribution - NEC"
"CSL_nyse","Industrial Conglomerates"
"KMX_nyse","New Car Dealers"
"CCL_nyse","Hotels, Motels &amp; Cruise Lines - NEC"
"CUK_nyse","Hotels, Motels &amp; Cruise Lines - NEC"
"CRS_nyse","Steel - NEC"
"CSV_nyse","Funeral Services"
"CRI_nyse","Apparel &amp; Accessories Retailers - NEC"
"CSH_nyse","Consumer Lending - NEC"
"CAS_nyse","Metal Merchant Wholesalers"
"CAT_nyse","Heavy Machinery &amp; Vehicles - NEC"
"CATO_nyse","Women&#39;s Apparel Retailers"
"CBZ_nyse","Business Support Services - NEC"
"CBL_nyse","Commercial REITs - NEC"
"IGR_nyse","Closed End Funds"
"CBG_nyse","Real Estate Services - NEC"
"CBS_nyse","Broadcasting - NEC"
"CBS/A_nyse","Broadcasting - NEC"
"CDI_nyse","Outsourcing &amp; Staffing Services"
"CEC_nyse","Food Retail &amp; Distribution - NEC"
"FUN_nyse","Amusement Parks and Zoos"
"CDR_nyse","Retail REITs"
"CGI_nyse","Freight Trucking"
"CE_nyse","Commodity Chemicals - NEC"
"CLS_nyse","Freight Logistics"
"CEL_nyse","Wireless Telecommunications Services - NEC"
"CPAC_nyse","Cement &amp; Concrete Manufacturing"
"CX_nyse","Construction Materials - NEC"
"CVE_nyse","Integrated Oil &amp; Gas"
"CNC_nyse","Managed Health Care - NEC"
"CNP_nyse","Multiline Utilities - NEC"
"EBR_nyse","Electric Utilities - NEC"
"EBR/B_nyse","Electric Utilities - NEC"
"CEE_nyse","Closed End Funds"
"CTL_nyse","Integrated Telecommunications Services - NEC"
"CVO_nyse","Commercial Printing Services - NEC"
"CF_nyse","Fertilizer"
"CGG_nyse","Oil Related Services"
"GIB_nyse","IT Services &amp; Consulting - NEC"
"CHG_nyse","Electric Utilities - NEC"
"CRL_nyse","Biotechnology &amp; Medical Research - NEC"
"CLDT_nyse","Hospitality REITs"
"CKP_nyse","Communications &amp; Networking - NEC"
"CHE_nyse","Healthcare Facilities &amp; Services - NEC"
"CHMT_nyse","Specialty Chemicals - NEC"
"CHK_nyse","Integrated Oil &amp; Gas"
"CHK^D_nyse","Integrated Oil &amp; Gas"
"CHKR_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CHSP_nyse","Hospitality REITs"
"CPK_nyse","Natural Gas Distribution"
"CVX_nyse","Petroleum Refining"
"CBI_nyse","Construction &amp; Engineering - NEC"
"CHS_nyse","Women&#39;s Apparel Retailers"
"CIM_nyse","Mortgage REITs"
"CO_nyse","Healthcare Facilities &amp; Services - NEC"
"STV_nyse","Communications &amp; Networking - NEC"
"DL_nyse","Education &amp; Training Information Providers"
"CEA_nyse","Airlines - NEC"
"CHN_nyse","Closed End Funds"
"CGA_nyse","Agricultural Chemicals - NEC"
"CHC_nyse","Renewable Utilities"
"LFC_nyse","Life Insurance"
"MY_nyse","Turbine Manufacturing"
"CHL_nyse","Wireless Telecommunications Services - NEC"
"NPD_nyse","Retail - Drugs without Grocery"
"BORN_nyse","Distillers &amp; Wineries - NEC"
"SNP_nyse","Oil &amp; Gas Refining and Marketing - NEC"
"ZNH_nyse","Airlines - NEC"
"CHA_nyse","Integrated Telecommunications Services - NEC"
"CHU_nyse","Integrated Telecommunications Services - NEC"
"XNY_nyse","Apparel &amp; Accessories - NEC"
"CYD_nyse","Auto, Truck &amp; Motorcycle Parts - NEC"
"ZX_nyse","Auto, Truck &amp; Motorcycle Parts - NEC"
"CMG_nyse","Quick Service Restaurants"
"CQB_nyse","Fishing &amp; Farming - NEC"
"CHH_nyse","Hotels &amp; Motels"
"CBK_nyse","Women&#39;s Apparel Retailers"
"CB_nyse","Property &amp; Casualty Insurance - NEC"
"CHT_nyse","Telecommunications Resellers"
"CHD_nyse","Household Products - NEC"
"CBR_nyse","IT Services &amp; Consulting - NEC"
"CI_nyse","Life &amp; Health Insurance - NEC"
"HIS_nyse","Investment Trusts"
"XEC_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CBB_nyse","Integrated Telecommunications Services - NEC"
"CBB^B_nyse","Integrated Telecommunications Services - NEC"
"CNK_nyse","Movie Theaters &amp; Movie Products"
"CIR_nyse","Oil Related Equipment"
"CIT_nyse","Banks - NEC"
"BLW_nyse","Closed End Funds"
"C_nyse","Banks - NEC"
"C^I_nyse","Life &amp; Health Insurance - NEC"
"C^S_nyse","Diversified Investment Services"
"C^W_nyse","Aircraft Parts Manufacturing - NEC"
"CIA_nyse","Life Insurance"
"CYN_nyse","Banks - NEC"
"CLC_nyse","Industrial Machinery &amp; Equipment - NEC"
"CLH_nyse","Environmental Services &amp; Equipment - NEC"
"CCO_nyse","Outdoor Advertising"
"CEM_nyse","Closed End Funds"
"EMO_nyse","Integrated Oil &amp; Gas"
"CTR_nyse","Closed End Funds"
"CLW_nyse","Pulp Mills"
"CNL_nyse","Electric Utilities - NEC"
"CLF_nyse","Steel - NEC"
"CLX_nyse","Household Products - NEC"
"CLD_nyse","Coal - NEC"
"CMS_nyse","Multiline Utilities - NEC"
"CMS^A_nyse","Electric Utilities - NEC"
"CNA_nyse","Property &amp; Casualty Insurance - NEC"
"CNH_nyse","Agricultural Machinery"
"CNO_nyse","Life &amp; Health Insurance - NEC"
"CEO_nyse","Oil &amp; Gas Exploration and Production - NEC"
"COH_nyse","Handbags &amp; Luggage Retailers"
"CIE_nyse","Oil Exploration &amp; Production - Offshore"
"KOF_nyse","Carbonated Soft Drinks"
"OCCH_nyse","Non-Alcoholic Beverages - NEC"
"KO_nyse","Non-Alcoholic Beverages - NEC"
"CCE_nyse","Carbonated Soft Drinks"
"CDE_nyse","Silver Mining"
"FOF_nyse","Closed End Funds"
"DVM_nyse","Closed End Funds"
"INB_nyse","Closed End Funds"
"UTF_nyse","Closed End Funds"
"MIE_nyse","Closed End Funds"
"RQI_nyse","Closed End Funds"
"RNP_nyse","Closed End Funds"
"PSF_nyse","Closed End Funds"
"RFI_nyse","Closed End Funds"
"CNS_nyse","Investment Banking"
"CFX_nyse","Pump &amp; Pumping Equipment"
"CL_nyse","Personal Products - NEC"
"CXE_nyse","Closed End Funds"
"CMK_nyse","Closed End Funds"
"CIF_nyse","Closed End Funds"
"CXH_nyse","Closed End Funds"
"CMU_nyse","Closed End Funds"
"CLP_nyse","Diversified REITs"
"CLNY_nyse","Residential REITs"
"CLNY^A_nyse","Residential REITs"
"STK_nyse","Closed End Funds"
"CMA_nyse","Banks - NEC"
"FIX_nyse","Construction &amp; Engineering - NEC"
"CMC_nyse","Steel - NEC"
"CWH_nyse","Office REITs"
"CWH^D_nyse","Office REITs"
"CWH^E_nyse","Office REITs"
"CBU_nyse","Banks - NEC"
"CYH_nyse","Healthcare Facilities &amp; Services - NEC"
"CIG_nyse","Renewable Utilities"
"CIG/C_nyse","Renewable Utilities"
"CBD_nyse","Food Retail &amp; Distribution - NEC"
"ABV_nyse","Brewers - NEC"
"ABV/C_nyse","Brewers - NEC"
"SBS_nyse","Water Utilities - NEC"
"ELP_nyse","Electric Utilities - NEC"
"CCU_nyse","Brewers - NEC"
"CODI_nyse","Investment Trusts"
"CMP_nyse","Agricultural Chemicals - NEC"
"CSC_nyse","IT Services &amp; Consulting - NEC"
"CRK_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CAG_nyse","Food Processing - NEC"
"CXO_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CCM_nyse","Healthcare Facilities &amp; Services - NEC"
"COP_nyse","Oil &amp; Gas Refining and Marketing - NEC"
"CNX_nyse","Coal - NEC"
"ED_nyse","Electric Utilities - NEC"
"CGX_nyse","Commercial Printing Services - NEC"
"STZ_nyse","Wineries"
"STZ/B_nyse","Wineries"
"CLR_nyse","Oil &amp; Gas Exploration and Production - NEC"
"CVG_nyse","Technology Consulting &amp; Outsourcing Services"
"CNW_nyse","Ground Freight &amp; Logistics - NEC"
"COO_nyse","Personal Products - NEC"
"CTB_nyse","Tire &amp; Tube Manufacturers"
"CPA_nyse","Airlines - NEC"
"CLB_nyse","Oil Related Services and Equipment - NEC"
"CLGX_nyse","Professional Information Services - NEC"
"CORR_nyse","Investment Trusts"
"COR_nyse","Retail REITs"
"GLW_nyse","Display Screens"
"BCA_nyse","Banks - NEC"
"OFC_nyse","Office REITs"
"CXW_nyse","Business Support Services - NEC"
"CZZ_nyse","Oil &amp; Gas Refining and Marketing - NEC"
"CMRE_nyse","Marine Freight &amp; Logistics - NEC"
"COT_nyse","Non-Alcoholic Beverages - NEC"
"CCSC_nyse","Quick Service Restaurants"
"CUZ_nyse","Commercial REITs - NEC"
"CUZ^B_nyse","Commercial REITs - NEC"
"CVD_nyse","Biotechnology &amp; Medical Research - NEC"
"CVA_nyse","Waste Management, Disposal &amp; Recycling Services"
"COV_nyse","Advanced Medical Equipment &amp; Technology - NEC"
"CPF_nyse","Commercial Banks"
"CPL_nyse","Electric Utilities - NEC"
"CR_nyse","Industrial Machinery &amp; Equipment - NEC"
"CRD/A_nyse","Property &amp; Casualty Insurance - NEC"
"CRD/B_nyse","Property &amp; Casualty Insurance - NEC"
"BAP_nyse","Banks - NEC"
"CS_nyse","Diversified Investment Services"
"CMLP_nyse","Integrated Oil &amp; Gas"
"CXS_nyse","Commercial REITs - NEC"
"CRH_nyse","Construction Materials - NEC"
"CRT_nyse","Investment Management"
"CCI_nyse","Wireless Telecommunications Services - NEC"
"CCK_nyse","Non-Paper Containers &amp; Packaging - NEC"
"CRY_nyse","Medical Equipment, Supplies &amp; Distribution - NEC"
"CSS_nyse","Gift, Novelty &amp; Souvenir Stores"
"CST_nyse","Gasoline stations"
"CSX_nyse","Ground Freight &amp; Logistics - NEC"
"CTS_nyse","Electronic Component"
"CUB_nyse","Aerospace &amp; Defense - NEC"
"CFR_nyse","Banks - NEC"
"CFI_nyse","Furniture"
"CMI_nyse","Engine &amp; Powertrain Systems"
"CW_nyse","Aircraft Parts Manufacturing - NEC"
"CSI_nyse","Closed End Funds"
"CVI_nyse","Petroleum Refining"
"UAN_nyse","Fertilizer"
"CVRR_nyse","Oil &amp; Gas Refining and Marketing - NEC"
"CVS_nyse","Drug Retailers - NEC"
"CYS_nyse","Mortgage REITs"
"CYS^A_nyse","Mortgage REITs"
"CYS^B_nyse","Mortgage REITs"
"CYT_nyse","Specialty Chemicals - NEC"
"DHI_nyse","Homebuilding - NEC"
"DAN_nyse","Auto, Truck &amp; Motorcycle Parts - NEC"
"DHR_nyse","Industrial Machinery &amp; Equipment - NEC"
"DAC_nyse","Deep Sea Freight"
"DQ_nyse","Photovoltaic Solar Systems &amp; Equipment"
"DRI_nyse","Restaurants &amp; Bars - NEC"
"DAR_nyse","Food Processing - NEC"
"DVA_nyse","Healthcare Facilities &amp; Services - NEC"
"DPM_nyse","Natural Gas Pipeline"
"DCT_nyse","Industrial REITs"
"DDR_nyse","Retail REITs"
"DF_nyse","Food Processing - NEC"
"DE_nyse","Heavy Machinery &amp; Vehicles - NEC"
"DEX_nyse","Closed End Funds"
"DDF_nyse","Investment Management"
"DKL_nyse","Oil &amp; Gas Transportation Services - NEC"
"DK_nyse","Petroleum Refining"
"DLPH_nyse","Auto, Truck &amp; Motorcycle Parts - NEC"
"DAL_nyse","Airlines - NEC"
"DEL_nyse","Logging &amp; Sawmills"
"DLX_nyse","Commercial Printing Services - NEC"
"DMD_nyse","Internet Services - NEC"
