"FLWS_nasdaq","Florists"
"AERL_nasdaq","Casinos &amp; Gaming - NEC"
"APWC_nasdaq","Wires &amp; Cables"
"ASIA_nasdaq","IT Services &amp; Consulting - NEC"
"ASMI_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"ASML_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"AZPN_nasdaq","IT Services &amp; Consulting - NEC"
"AACC_nasdaq","Business Support Services - NEC"
"ASBC_nasdaq","Commercial Banks"
"ASFI_nasdaq","Corporate Financial Services - NEC"
"ATEA_nasdaq","IT Services &amp; Consulting - NEC"
"ASTE_nasdaq","Construction Machinery"
"ALOT_nasdaq","Computer Peripherals"
"ATRO_nasdaq","Aircraft Parts Manufacturing - NEC"
"ASTC_nasdaq","Aerospace &amp; Defense - NEC"
"ASUR_nasdaq","Software - NEC"
"ATAI_nasdaq","Educational Services"
"ATHN_nasdaq","Internet Services - NEC"
"AFCB_nasdaq","Banks - NEC"
"ATHX_nasdaq","Bio Therapeutic Drugs"
"AAME_nasdaq","Life Insurance"
"ACFC_nasdaq","Banks - NEC"
"ATNI_nasdaq","Wired Telecommunications Carriers"
"ATLC_nasdaq","Consumer Leasing"
"AAWW_nasdaq","Air Freight"
"AFH_nasdaq","Insurance - Automobile"
"ATML_nasdaq","Semiconductors - NEC"
"ATMI_nasdaq","Semiconductors - NEC"
"ATOS_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"ATRC_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"ATRI_nasdaq","Glasses, Spectacles &amp; Contact lenses"
"ATTU_nasdaq","Software - NEC"
"AUBN_nasdaq","Banks - NEC"
"ADNC_nasdaq","Communications &amp; Networking - NEC"
"AUDC_nasdaq","Communications &amp; Networking - NEC"
"ADAT_nasdaq","Software - NEC"
"ABTL_nasdaq","Advertising &amp; Marketing - NEC"
"ADSK_nasdaq","Application Software"
"ADP_nasdaq","Outsourcing &amp; Staffing Services"
"AMAP_nasdaq","IT Services &amp; Consulting - NEC"
"AUXL_nasdaq","Biopharmaceuticals"
"AVGO_nasdaq","Semiconductors - NEC"
"AVNR_nasdaq","Bio Therapeutic Drugs"
"AVEO_nasdaq","Bio Therapeutic Drugs"
"AVNW_nasdaq","Network Equipment"
"AVID_nasdaq","Computer Peripherals"
"CAR_nasdaq","Passenger Transportation, Ground &amp; Sea - NEC"
"AWRE_nasdaq","Enterprise Software"
"ACLS_nasdaq","Industrial Machinery"
"AXTI_nasdaq","Semiconductors - NEC"
"BCOM_nasdaq","Integrated Telecommunications Services - NEC"
"BOSC_nasdaq","Electronic Component"
"BEAV_nasdaq","Aerospace &amp; Defense - NEC"
"BIDU_nasdaq","Search Engines"
"BCPC_nasdaq","Specialty Chemicals - NEC"
"BWINA_nasdaq","Property &amp; Casualty Insurance - NEC"
"BWINB_nasdaq","Property &amp; Casualty Insurance - NEC"
"BLDP_nasdaq","Renewable Energy Equipment &amp; Services - NEC"
