    30981000,AMSG_nasdaq,38.63,25.00,39.00,142141,36.0241,33.2097,17.88,15.83,9.40
     8869000,ASYS_nasdaq,6.65,2.90,7.93,65070,5.8318,4.3312,N/A,N/A,0.70
    34736000,AFSI_nasdaq,39.01,23.90,39.73,496835,35.2074,33.5571,12.11,10.43,22.50
    31082000,AMRS_nasdaq,2.98,2.16,4.51,233237,2.8353,3.009,N/A,N/A,26.30
    31305000,ANAC_nasdaq,6.66,3.00,8.25,450500,5.5653,5.2566,N/A,N/A,5.60
    79244000,ANAD_nasdaq,2.25,1.05,2.87,646354,2.1247,2.1596,N/A,N/A,2.50
   305003000,ADI_nasdaq,48.00,35.79,48.43,2229550,45.6774,44.8666,22.75,18.75,1.90
    12123000,ALOG_nasdaq,71.40,60.86,84.71,48508,75.3668,76.8607,N/A,20.76,12.40
     4425000,ANLY_nasdaq,3.95,2.74,4.33,10590,4.0056,3.7453,N/A,N/A,0.70
     8885000,ANEN_nasdaq,23.50,17.61,24.75,44725,23.6291,21.3826,17.03,15.77,11.10
     1736000,ANCB_nasdaq,18.00,10.75,19.00,1105,18.0682,15.6793,62.07,72.00,2.00
     4674000,AMCF_nasdaq,0.534,0.45,2.24,17398,0.5706,0.661,N/A,N/A,0.10
           0,ANDA_nasdaq,9.93,9.60,12.66,770,9.9538,9.9502,N/A,N/A,0.20
           0,ANDAU_nasdaq,10.08,9.90,10.36,95,10.1091,10.0515,N/A,N/A,N/A
           0,ANDAW_nasdaq,0.24,0.00,0.00,0,0.00,0.00,N/A,N/A,N/A
    52344000,ANGI_nasdaq,24.17,8.94,28.24,1086720,25.4826,19.6415,N/A,75.53,14.90
    17524000,ANGO_nasdaq,12.34,9.52,12.39,87382,11.2432,11.2399,38.56,N/A,13.50
    10989000,ANIK_nasdaq,19.90,9.13,20.18,92325,16.58,13.41,20.31,17.46,6.20
    92459000,ANSS_nasdaq,78.35,55.45,81.55,348302,74.1294,75.2946,26.12,23.74,3.80
    90857000,ATRS_nasdaq,4.54,3.35,5.58,1000010,4.1824,3.8428,N/A,N/A,11.60
   124986000,ANTH_nasdaq,0.4948,0.46,1.79,704102,0.5456,0.6145,N/A,N/A,5.50
     7513000,APAGF_nasdaq,13.41,8.82,20.14,27470,12.2335,12.2849,N/A,N/A,10.70
    23343000,ATNY_nasdaq,2.80,2.31,3.49,81857,2.7038,2.6996,N/A,N/A,10.80
    27611000,APOG_nasdaq,26.59,14.57,30.26,289214,25.3409,25.8801,27.70,17.27,7.20
    99292000,APOL_nasdaq,18.97,15.98,32.34,2874350,19.5997,18.9387,6.66,10.42,8.60
           0,AINV_nasdaq,8.135,7.21,9.08,2795680,7.9744,8.4401,9.68,9.35,2.10
   938189000,AAPL_nasdaq,427.288,385.10,705.07,15174900,427.102,448.071,10.81,9.82,1.70
     4499000,ARCI_nasdaq,2.569,1.10,4.47,55227,2.2665,1.6734,N/A,N/A,N/A
  1193826000,AMAT_nasdaq,16.49,9.95,16.66,14436400,15.3191,13.842,25.77,14.72,1.10
    58097000,AMCC_nasdaq,9.15,4.28,9.98,644754,8.5174,8.2066,130.71,22.32,12.50
    33968000,AREX_nasdaq,26.75,22.24,34.84,607759,25.4444,25.2289,78.68,36.64,13.40
    28840000,APRI_nasdaq,2.06,1.94,3.51,568817,2.4841,2.596,N/A,N/A,3.00
           0,AQU_nasdaq,9.90,7.00,10.00,94,9.9288,9.6876,N/A,N/A,2.80
           0,AQUUU_nasdaq,10.161,9.50,10.18,325,10.1491,10.0783,N/A,N/A,N/A
           0,AQUUW_nasdaq,0.24,0.00,0.00,0,0.00,0.00,N/A,N/A,N/A
     4483000,ARCW_nasdaq,5.27,3.31,8.57,597,5.2841,5.4429,N/A,N/A,0.60
     3040000,ABIO_nasdaq,1.36,1.13,5.94,282259,1.49,2.351,N/A,N/A,0.40
   117192000,ACGL_nasdaq,53.36,38.07,54.64,519322,51.7047,50.1226,15.47,15.88,7.20
    12923000,ACAT_nasdaq,50.91,32.12,52.19,136643,47.2279,41.875,15.71,14.10,6.70
     1197000,ARDNA_nasdaq,114.60,82.60,119.35,1913,109.323,99.7839,N/A,N/A,11.20
   216490000,ARNA_nasdaq,6.78,6.65,11.64,5923470,8.0044,8.3353,N/A,N/A,10.90
           0,ARCC_nasdaq,17.62,16.03,18.67,2191500,17.0685,17.6982,11.01,10.61,N/A
    26612000,AGII_nasdaq,44.40,0.00,0.00,0,0.00,0.00,15.36,13.29,5.50
           0,AGIIL_nasdaq,23.73,22.01,26.00,20218,24.3888,24.9731,N/A,N/A,N/A
   178701000,ARIA_nasdaq,19.18,15.35,25.40,2711920,18.3594,19.0313,N/A,N/A,4.50
