"index","ticker","year","quarter","QuarterHeading","QuarterRange","QuarterCountperRange","DateString","CurrencyHeader","Net Income/Starting Line","Depreciation/Depletion","Amortization","Deferred Taxes","Non-Cash Items","Changes in Working Capital","Cash from Operating Activities","Capital Expenditures","Other Investing Cash Flow Items, Total","Cash from Investing Activities","Financing Cash Flow Items","Total Cash Dividends Paid","Issuance (Retirement) of Stock, Net","Issuance (Retirement) of Debt, Net","Cash from Financing Activities","Foreign Exchange Effects","Net Change in Cash","Cash Interest Paid, Supplemental","Cash Taxes Paid, Supplemental"
"2903","CARB_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-19.285168","11.754492","0.0","0.0","5.4183817","13.911936","11.79964","-12.120324","-8.352164","-20.467392","0.0","0.0","1.9155753","0.0","1.9155753","0.0","-6.762067","0.0","0.0"
"2911","CRDC_nasdaq","2013","2","12 months ending 2013-06-30","days","366.2498","2013-06-30","In Millions of USD (except for per share items)","-16.184816","1.1531386","0.0","0.0","1.4135036","-1.3010949","-14.90927","-2.0866787","0.03759124","-2.049051","0.0","0.0","14.884343","0.0","14.884343","0.0","-2.073978","0.20054744","0.0"
"2919","CFNL_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","39.878807","2.8639908","0.0","2.9658084","-0.87806547","21.340141","66.17548","-3.5225425","-99.071365","-102.599014","60.52414","-6.295086","4.9783397","-34.141777","25.075516","0.0","-11.3579035","0.0","14.903238"
"2927","CRME_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-12.075398","0.7355923","0.0","0.0","-5.174738","-2.255227","-18.764675","-0.25868613","0.0","-0.25868613","0.09501549","0.0","0.0","9.172603","9.267617","0.020985704","-9.7347555","1.1414795","0.0"
"2935","BEAT_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-10.55901","8.59737","1.8598437","0.0","13.395712","-6.259136","7.0395765","-6.419773","-0.22931506","-6.6541843","0.0","0.0","0.49126837","0.0","0.49126837","0.0","0.88175625","0.14778082","0.17024957"
"2943","CSII_nasdaq","2013","2","12 months ending 2013-06-30","days","366.2498","2013-06-30","In Millions of USD (except for per share items)","-24.102776","0.90233576","0.070510946","0.0","7.9110584","4.4146714","-10.804161","-2.4653285","0.0","-2.4653285","0.0027737226","0.0","46.049015","-0.29671535","45.755074","0.0","32.49555","1.13","0.0"
"2951","CATM_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","45.693512","85.91214","0.0","16.632217","17.088305","-16.366451","148.9747","-76.823524","-39.967377","-116.79091","10.711639","0.0","-2.0136347","-28.271175","-19.568073","-0.013804629","12.611815","20.848057","4.076378"
"2959","CECO_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-118.85014","79.50166","0.0","-21.407835","118.53025","-132.57314","-74.79918","-29.234407","46.50184","17.262337","31.968742","0.0","-27.38689","-38.99432","-34.407677","-2.3025618","-94.24199","0.10191781","9.733151"
"2967","CKEC_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","49.95879","37.327103","0.0","-47.54643","11.313824","7.170564","58.23375","-31.406574","-9.753724","-41.160297","-4.3926578","0.0","28.628736","1.7157764","25.951853","0.0","43.025307","39.70887","4.676711"
"2975","CLBH_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","6.9770536","0.86384815","0.0","0.5149191","1.0883684","58.729828","68.17402","-0.6507685","37.587955","36.937187","-10.840876","-1.4155982","-1.4934973","-6.328583","-20.08365","0.0","85.03266","0.0","3.0352325"
"2983","CART_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-1.2429177","0.38186842","0.10041246","0.0","1.7036331","3.3646145","4.3124056","-0.16005778","-4.556585","-4.716643","-0.32031608","-0.14057745","-0.606411","-0.040164977","-1.1125653","0.0","-1.5168023","0.0","0.030575342"
"2991","CRZO_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","88.5406","179.34894","0.0","39.086826","-0.56148434","33.413986","339.83878","-783.6667","303.65784","-480.01883","19.7565","0.0","0.8176395","83.853806","104.42795","0.0","-35.752064","22.23337","0.3006575"
"2999","CRRB_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","3.8064182","0.5895957","0.1780328","-0.12230137","-17.83189","-12.608236","-25.98838","-0.5104699","43.28778","42.76233","-7.836086","0.0","10.909453","-0.16814208","2.9052262","0.0","19.679167","0.0","1.0350232"
"3007","TAST_nasdaq","2013","2","26 weeks ending 2013-06-30","days","367.0","2013-06-30","In Millions of USD (except for per share items)","-18.300688","29.826923","0.0","-11.747472","6.4278297","7.574066","13.795742","-46.42022","-21.991621","-68.41692","-4.929781","0.0","0.14739011","41.15583","36.37852","0.0","-18.232664","13.396183","-1.4688188"
"3015","CARV_nasdaq","2013","2","3 months ending 2013-06-30","days","366.50085","2013-06-30","In Millions of USD (except for per share items)","0.9072603","1.1313698","0.0","0.0","0.7528767","11.185617","13.984657","-0.17575343","1.3463013","1.1780821","-2.1958904","0.0","0.0","0.0","-2.1958904","0.0","12.966849","0.0","0.052739725"
"3024","CASM_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-7.8989754","1.1189215","0.0","0.0","0.4832064","-1.3316331","-7.6284814","-1.3803172","1.5121635","0.13184643","-0.086329065","0.0","0.035370164","3.267168","3.2162097","0.0","-4.2753296","0.13457835","0.0"
"3032","CACB_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","0.0","0.0","0.0","0.0","0.0","-0.40859652","-0.40859652","-1.9758674","-34.262737","-36.2386","12.311415","0.0","0.0","0.0","12.311415","0.0","-24.330688","0.0","0.050958905"
"3040","CSCD_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","6.0064716","4.7133865","0.0","-0.0066012405","1.6044917","-1.8670473","10.450702","-1.7426829","1.1463969","-0.5962862","-0.37107447","0.0","0.040399104","-0.0101917805","-0.34086716","-0.022769824","9.480887","0.0","1.2250543"
"3048","CWST_nasdaq","2013","-1","3 months ending 2013-07-31","days","365.50018","2013-07-31","In Millions of USD (except for per share items)","-41.0423","64.707664","0.0","-2.3974247","30.210987","0.04290408","51.50433","-55.587505","-30.747015","-86.324524","-9.968713","0.0","31.66389","12.208109","33.90329","0.0","-0.92690414","32.940823","0.5323288"
"3057","CASY_nasdaq","2013","-1","3 months ending 2013-07-31","days","365.50018","2013-07-31","In Millions of USD (except for per share items)","138.75076","114.4416","0.0","30.542519","7.105014","62.326218","353.1736","-301.6441","-20.722794","-322.36688","1.8888218","-25.436905","4.4432325","126.97811","107.87326","0.0","138.68246","26.566628","14.029808"
"3066","CASS_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","23.851074","6.7606187","0.0","0.49430138","1.6233699","-0.31481898","32.404655","-3.8348076","28.079424","24.234726","30.20413","-7.8354397","0.0","0.0","22.363598","0.0","79.00807","0.0","6.223788"
"3074","CPRX_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-6.915681","0.014986601","0.0","0.0","0.22053942","0.03025198","-6.6349163","-0.035370164","-3.6578126","-3.6931825","0.0","0.0","4.901644","2.5479453","7.4495893","0.0","-2.878509","0.0","0.0"
"3082","CTRX_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","188.2122","27.261665","165.36319","-44.831757","26.8654","-1.9379101","360.92767","-91.857445","-785.0748","-876.93225","-25.740702","0.0","270.38083","289.10117","533.74133","0.01468553","17.756111","9.53441","11.236438"
"3090","CATY_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","118.56642","6.0930796","5.725015","-13.903618","9.062902","31.288132","156.84183","-4.186079","22.426195","18.240116","-31.36702","-14.3408165","-126.916626","-0.44843835","-173.0828","0.0","1.9892607","0.0","46.287666"
"3098","CVCO_nasdaq","2013","2","3 months ending 2013-06-29","days","366.50085","2013-06-29","In Millions of USD (except for per share items)","11.620274","3.9812331","0.0","1.6447946","-6.0245204","20.009178","31.240957","-0.96260273","-1.1372603","-2.0823288","0.0","0.0","1.7075343","-13.785616","-12.078082","0.0","17.080547","5.4164386","6.3064384"
"3107","CAVM_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-69.87776","34.0355","0.0","18.51152","53.466953","-1.7110261","34.41529","-14.979653","3.3133879","-11.666266","0.0","0.0","11.568497","-6.7754707","4.793025","0.0","27.542051","0.035671234","0.53506845"
"3115","CBEY_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-1.7756892","73.38568","0.0","3.030226","17.607038","-20.451445","71.79072","-58.303307","-1.86","-60.168404","-2.587285","0.0","0.047044985","-0.89106715","-3.4364028","0.0","8.195798","0.48077554","1.5541574"
"3123","CBOE_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","167.77176","32.75716","0.10520728","-1.7431959","21.169767","-2.2848878","217.77075","-28.2505","-2.5807729","-30.831274","2.185847","-84.41773","-32.9852","0.0","-115.22697","0.0","71.71759","0.0","96.2392"
"3131","CECE_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","10.721664","1.9326692","0.0","0.22931506","1.0056299","2.7084713","16.60764","-0.37496608","-25.958263","-26.323341","0.0","-3.0042448","0.32817754","-0.098907106","-2.7749743","0.0","-12.500564","0.79072165","4.7180476"
"3139","CELG_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","1595.6216","90.13079","235.50496","-42.802025","493.28278","-251.07387","2120.6646","-151.66031","-1161.1736","-1312.834","105.445496","0.0","-2339.0786","1217.7133","-1015.925","-18.526705","-226.62132","69.973755","392.39594"
"3147","CTIC_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-89.24657","2.0085726","0.0","0.0","21.806196","3.1793113","-62.257572","-2.833438","-9.000848","-11.834287","-0.3839536","0.0","44.55337","9.623661","53.793076","0.39530504","-19.908573","0.3069131","0.0"
"3155","CLDX_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-66.079636","1.9743843","1.0598783","0.0","0.4224236","2.3809628","-60.24198","-1.0628221","-75.994156","-77.05698","-0.060247477","0.0","157.90038","-12.932522","144.91269","0.0","7.6137285","0.7032329","0.0"
"3163","CLSN_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-13.767266","0.29104558","0.0050958903","0.0","-0.30414748","-1.154615","-14.929888","-0.37019363","-33.173885","-33.53419","0.0","0.0","34.878975","2.0887575","36.967728","0.0","-11.49635","0.4307198","0.0"
"3171","CEMP_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","-26.748219","0.035370164","0.0","0.0","8.376964","-0.7151865","-19.056168","-0.04465873","0.0","-0.04465873","-0.87102914","0.0","93.75604","4.9453554","97.83035","0.0","78.734634","0.86445034","0.0"
"3179","CNBC_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","18.665253","0.8890266","0.0","0.97331506","15.183402","-14.93998","20.766222","-0.724776","-80.66452","-81.38929","17.954708","-3.6375961","0.08123317","0.0","14.398346","0.0","-46.22472","0.0","4.8124056"
"3187","CSFL_nasdaq","2013","2","6 months ending 2013-06-30","days","366.75647","2013-06-30","In Millions of USD (except for per share items)","12.294823","5.8122253","-12.84674","4.393271","-4.7866464","14.283825","19.160648","-6.308812","129.72609","123.41728","-181.50777","-1.2049496","0.0","0.0","-182.71272","0.0","-40.13987","3.4419672","0.7765713"
