FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
319003000,ALTR_nasdaq,32.96,29.59,38.8,3260030,32.8617,33.8559,22.89,18.62,1.4
N/A,ALTE_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
12148000,ASPS_nasdaq,97.36,66.97,129.72,226750,95.1394,86.2672,16.79,11.76,1.4
1326000,APSA_nasdaq,15.78,12.15,18.25,2047,15.8466,15.6067,N/A,N/A,1.6
25888000,AIMC_nasdaq,28.52,14.55,30.1,139750,27.7869,25.7867,15.58,13.08,8
5803000,ALVR_nasdaq,1.15,1.1,6.1,93047,1.778,3.4631,N/A,N/A,0.1
15592000,AMAG_nasdaq,22,13.85,25.67,140434,21.5469,19.5615,N/A,N/A,5
141996000,AMRN_nasdaq,5.71,5.36,15.96,3734440,6.5897,7.5652,N/A,N/A,6.4
367613000,AMZN_nasdaq,283.73,212.61,286.58,3038630,272.123,265.717,218.25,88.67,2.9
16013000,AMBA_nasdaq,16.89,5.55,18.58,1028530,16.5666,13.2859,19.87,15.35,0.7
10982000,EPAX_nasdaq,3.49,3.17,5.75,61247,3.5869,4.1318,N/A,N/A,3
3347000,AMBT_nasdaq,2.86,1.53,7.57,28467,2.1249,2.5386,N/A,N/A,3
49282000,AMCX_nasdaq,65.77,37.47,70.65,532923,64.928,60.5082,20.05,16.99,1.9
30520000,AMED_nasdaq,10.87,8.81,15.95,399389,12.2026,11.526,22.18,22.18,12.8
5944000,UHAL_nasdaq,170.93,87.26,182.77,54052,169.91,154.632,12,N/A,6.3
2463000,ASBI_nasdaq,10.6499,5.19,11.5,1453,10.0811,9.011,N/A,N/A,0.4
42583000,ATAX_nasdaq,6.7,5.27,7.35,141111,6.8011,6.9945,N/A,N/A,0.4
1391004000,AMOV_nasdaq,21.41,18,27.5,7534,20.0869,21.6251,N/A,N/A,0.5
395440000,AGNC_nasdaq,22.47,21.74,36.77,9526120,25.4894,30.1661,N/A,N/A,0.7
395440000,AGNCP_nasdaq,25.1756,24.54,27.42,41566,25.7989,26.1991,N/A,N/A,N/A
58532000,MTGE_nasdaq,17.77,17.36,26.71,1362290,20.4809,24.2388,5.9,5.57,0.8
